TYPE,NAME,DESCR,Value
bacnet.point.analog.Value,Selector Corba TR P3,1 Baixa 2 Mitja 3 Alta,"2,00"
bacnet.point.analog.Value,Selector Corba TR PB i P1,1 Baixa 2 Mitja 3 Alta,"2,00"
bacnet.File,SXWconfiguration,File that contains all configuration data needed to back up and restore this device,
bacnet.point.analog.Input,T Ambient P1 Menjador,,"24,49"
bacnet.point.analog.Input,T Ambient P1 Passad Curt,,"25,89"
bacnet.point.analog.Input,T Ambient P1 Passad Llarg,,"25,45"
bacnet.point.analog.Input,T Ambient P1 Sala Estar,,"24,43"
bacnet.point.analog.Input,T Ambient P1 Zona Dia,,"24,40"
bacnet.point.analog.Input,T Ambient P2 Menjador,,"24,23"
bacnet.point.analog.Input,T Ambient P2 Passad Curt,,"24,95"
bacnet.point.analog.Input,T Ambient P2 Passad Llarg,,"23,62"
bacnet.point.analog.Input,T Ambient P2 Sala Estar,,"25,14"
bacnet.point.analog.Input,T Ambient P3 Menjador,,"23,46"
bacnet.point.analog.Input,T Ambient P3 Passad Curt,,"24,29"
bacnet.point.analog.Input,T Ambient P3 Passad Llarg,,"24,22"
bacnet.point.analog.Input,T Ambient P3 Sala Estar,,"23,57"
bacnet.point.analog.Input,T Ambient PB Zona Dia,,"23,83"
bacnet.point.analog.Input,T Diposit Solar 1,,"47,78 °C"
bacnet.point.analog.Input,T Diposit Solar 2,,"45,76 °C"
bacnet.point.analog.Input,T Imp Clima COB Passad Curt,,"38,47"
bacnet.point.analog.Input,T Imp Clima COB Passad Llarg,,"28,97"
bacnet.point.analog.Input,T Imp P2 T Radiant,,"33,36 °C"
bacnet.point.analog.Input,T Imp P3 T Radiant,,"33,42 °C"
bacnet.point.analog.Input,T Imp PB P1 T Radiant,,"33,45 °C"
bacnet.point.analog.Input,T Primari Solar,,"50,51 °C"
bacnet.point.analog.Input,T Ret FCs A,,"85,47 °C"
bacnet.point.analog.Input,T Ret FCs B,,"84,41 °C"
bacnet.point.analog.Input,T Ret FCs C,,"85,12 °C"
bacnet.point.analog.Input,T Ret P2 T Radiant,,"32,10 °C"
bacnet.point.analog.Input,T Ret P3 T Radiant,,"31,09 °C"
bacnet.point.analog.Input,T Ret PB P1 T Radiant,,"31,22 °C"
bacnet.point.analog.Value,Temperatura Calculada Corba Alta,,"42,00"
bacnet.point.analog.Value,Temperatura Calculada Corba Baixa,,"30,55"
bacnet.point.analog.Value,Temperatura Calculada Corba Mitja,,"33,32"
bacnet.point.analog.Value,Valvula Clima COB Passad Curt,,"0,00"
bacnet.point.analog.Value,Valvula Clima COB Passad Llarg,,"14,37"
bacnet.point.analog.Value,Valvula Clima P1 Menjador,,"0,00"
bacnet.point.analog.Value,Valvula Clima P1 Passad Curt,,"0,00"
bacnet.point.analog.Value,Valvula Clima P1 Passad Llarg,,"0,00"
bacnet.point.analog.Value,Valvula Clima P1 Sala Estar,,"99,85"
bacnet.point.analog.Value,Valvula Clima P1 Zona Dia,,"0,00"
bacnet.point.analog.Value,Valvula Clima P2 Menjador,,"0,00"
bacnet.point.analog.Value,Valvula Clima P2 Passad Curt,,"0,00"
bacnet.point.analog.Value,Valvula Clima P2 Passad Llarg,,"100,00"
bacnet.point.analog.Value,Valvula Clima P2 Sala Estar,,"0,00"
bacnet.point.analog.Value,Valvula Clima P3 Menjador,,"97,20"
bacnet.point.analog.Value,Valvula Clima P3 Passad Curt,,"0,00"
bacnet.point.analog.Value,Valvula Clima P3 Passad Llarg,,"0,00"
bacnet.point.analog.Value,Valvula Clima P3 Sala Estar,,"0,00"
bacnet.point.analog.Value,Valvula Clima PB Zona Dia,,"40,31"
bacnet.point.analog.Value,Velocitat Ventilador Clima COB Passad Curt,,"100,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima COB Passad Llarg,,"100,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P1 Menjador,,"100,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P1 Passad Curt,,"33,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P1 Passad Llarg,,"33,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P1 Sala Estar,,"66,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P1 Zona Dia,,"0,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P2 Menjador,,"0,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P2 Passad Curt,,"0,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P2 Passad Llarg,,"100,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P2 Sala Estar,,"0,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P3 Menjador,,"33,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P3 Passad Curt,,"0,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P3 Passad Llarg,,"0,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima P3 Sala Estar,,"33,00"
bacnet.point.analog.Value,Velocitat Ventilador Clima PB Zona Dia,,"66,00"
